Detecting language using up to the first 30 seconds. Use `--language` to specify the language
Detected language: Russian
[00:00.000 --> 00:02.520]  Которые постоянно не работают.
[00:03.360 --> 00:08.380]  Но если в какой-то задаче это позволяет вам снизить энергопотребление,
[00:09.180 --> 00:15.620]  то вы можете не только повысить скорость, но и, что весьма актуально, особенно в мобильных системах,
[00:16.380 --> 00:23.100]  повысить энергоэффективность соотношения сделанной работы к затраченной энергии.
[00:23.100 --> 00:29.940]  Вот такой сейчас типичный пример, это вот всякие блоки декодирования видео.
[00:31.060 --> 00:38.400]  Если ваш блогный телефончик, достаточно новый, то он это видео легко программно декодирует.
[00:39.120 --> 00:42.000]  Без всяких аппаратных блоков он успеет это сделать.
[00:43.420 --> 00:47.020]  Почему аппаратное декодирование супер актуально?
[00:47.020 --> 00:54.580]  Потому что он, конечно, успеет, но потратит на это энергии гораздо больше, чем аппаратный блок.
[00:55.580 --> 01:02.700]  И ваш фудосик сожжет аккумулятор раз в пять быстрее, чем специализированный блок.
[01:05.360 --> 01:13.020]  Поэтому вот транзисторы сегодня, они не такая большая ценность их количества.
[01:13.020 --> 01:18.020]  Сегодня вот главный момент, это энергоэффективность.
[01:19.640 --> 01:22.460]  Мы можем позволить себе специализированные блоки.
[01:24.060 --> 01:28.360]  И вот, когда мы будем рассматривать наборы команд современных процессоров,
[01:28.500 --> 01:33.360]  они вот постепенно обрастают такими все более специализированными командами.
[01:33.920 --> 01:41.020]  Из такого яркого примера, например, некоторое время назад на x86 добавили команду CRC32.
[01:41.020 --> 01:47.020]  CRC32, который одной командой считает алгоритм CRC32.
[01:48.080 --> 01:50.100]  А он сейчас до сих пор сильно используется?
[01:50.780 --> 01:51.100]  Да.
[01:52.120 --> 01:56.380]  И, кстати говоря, CRC32 используется в разных вариантах.
[01:56.820 --> 01:59.820]  Добавили вариант, который используют в стиле протокол.
[02:00.700 --> 02:02.320]  Ну, когда был для кого, для сервера.
[02:02.320 --> 02:10.060]  Потому что, если вы считаете TCP, то там как раз контрольная сумма, она CRC32.
[02:11.380 --> 02:13.140]  Я не знаю, в IP нет.
[02:13.680 --> 02:15.940]  Ну, в TCP, там контрольная сумма есть.
[02:16.800 --> 02:19.100]  И она, по-моему, как раз вот ровно этого видит.
[02:19.100 --> 02:26.440]  Так как протокол TCP никуда не собирает уходить, то эта контрольная сумма тоже никуда не собирается уходить.
[02:27.620 --> 02:33.620]  И в сервере вы можете считать эту контрольную сумму постоянно программно, он успеет.
[02:33.620 --> 02:44.800]  Но он будет сжать энергии существенно больше, чем если вы поставите специализированный блок и снизите энергопотребление от кучи серверов.
[02:45.880 --> 02:46.600]  Вот вы ответили.
[02:46.600 --> 03:11.580]  Там разве, это же сейчас вообще модное направление, средства его, пишут под каждое приложение, в плане под новый ритм, под какой-то кодек, под еще что-то, пишут новую инструкцию, представляют новую архитектуру.
[03:11.700 --> 03:12.400]  Ну и под каждое.
[03:12.400 --> 03:22.000]  Не-не-не, ну имеется в виду, там идея сейчас, что мы хотим снять трассу, из которой используется, то есть какое-то приложение, да, но, словно, мы там что-то кодируем, да, там какой-то вылит.
[03:22.000 --> 03:31.460]  И мы хотим на основе этой трассы писать экстеншн к архитектуре RISC-5, чтобы получить вот эти команды.
[03:31.460 --> 03:43.260]  А суть в том, что идейно, ну или вообще полная перекодировка RISC-5, чтобы конкретно под эту программу была эта штука эффективно исполнялась.
[03:43.260 --> 03:52.860]  И там, чтобы уменьшился размер, ну и динамического исполненного, более эстетического, там на какие-то проценты, и так это типа энергоэффективно.
[03:52.860 --> 04:02.860]  Смотри, это все здорово, но это опять нас возвращает к курсу архитектуры и к вопросу о программном и аппаратном управлении.
[04:02.860 --> 04:16.860]  Конечно, с точки зрения энергоэффективности и стоимости вот одного конечного кристалла, конечно, лучше сделать специализированный кристалл.
[04:16.860 --> 04:20.860]  Идеально вообще весь алгоритм зашить в кристалл.
[04:20.860 --> 04:26.860]  Но, какая обратная сторона этого аппаратного управления?
[04:26.860 --> 04:32.860]  Да, стоимость разработки и супервысокая специализация.
[04:32.860 --> 04:37.860]  А стоимость разработки железа, она официальная.
[04:37.860 --> 04:47.860]  Так что, если ты хочешь сделать в современном мире по новой технологии какой-то кристалл, это стоит супер дорого.
[04:47.860 --> 04:55.860]  Поэтому, если ты уверен, что ты продашь этих кристаллов каждому китайцу, то да, это оптимальное поведение.
[04:55.860 --> 05:08.860]  Но, если ты не уверен, что ты умеешь продать их в таком количестве, то ты потратишь на разработку этого кристалла гораздо больше денег, чем просто на продажу.
[05:08.860 --> 05:12.860]  Это вообще много, это вот на тебя вышло.
[05:12.860 --> 05:15.860]  Идея вообще много.
[05:15.860 --> 05:18.860]  Ну хорошо, именно реализовали эту штуку.
[05:18.860 --> 05:20.860]  Нет, ну можно развивать.
[05:20.860 --> 05:28.860]  Но еще раз, вопрос в том, насколько это имеет смысл в текущей предметной области.
[05:28.860 --> 05:31.860]  То есть абстрактная статья, ну да, интересно.
[05:31.860 --> 05:34.860]  Но насколько она практически полезна, вот еще вопрос.
[05:34.860 --> 05:44.860]  Эти идеи мы с вами рассматривали на архитектуре.
[05:44.860 --> 05:47.860]  Зачем вообще курс на архитектуре, потому что вы такие вещи понимаете.
[05:47.860 --> 05:49.860]  То есть идея вообще не такая.
[05:49.860 --> 05:52.860]  От того, что мне там рискфайв сказали...
[05:52.860 --> 05:54.860]  Почему?
[05:54.860 --> 05:57.860]  Ну вот с армом так сложно сделать?
[05:57.860 --> 05:59.860]  Прям слишком плотно.
[05:59.860 --> 06:01.860]  Нет, с армом там неправильная идея.
[06:01.860 --> 06:07.860]  Я не знаю, что архитектуре, это штука, которая контролируется лицензией одной компашки.
[06:07.860 --> 06:10.860]  И армом ничего такого просто делать не будет.
[06:10.860 --> 06:19.860]  То есть здесь как бы достоинство рискфайва, что рискфайв позволяет сделать.
[06:19.860 --> 06:21.860]  В этом нововведении.
[06:21.860 --> 06:26.860]  Но вот такая содержательная часть, она вообще не будет.
[06:26.860 --> 06:37.860]  И на самом деле, если уж в ту сторону клоняться, между чисто программным управлением и аппаратным существует еще один уровень.
[06:37.860 --> 06:39.860]  Кто это?
[06:39.860 --> 06:40.860]  Ганера Сонка?
[06:40.860 --> 06:41.860]  Нет.
[06:41.860 --> 06:43.860]  Это ПГА.
[06:43.860 --> 06:44.860]  Может быть.
[06:44.860 --> 06:52.860]  Это такое конфигурируемое аппаратное управление.
